codigo_montante_newave;nome_montante_newave;id_montante_cobre;nome_montante_cobre;codigo_jusante_newave;nome_jusante_newave;id_jusante_cobre_esperado;id_jusante_cobre_encontrado;nome_jusante_cobre_encontrado;codigo_canal_desvio_newave;nome_canal_desvio_newave;id_canal_desvio_cobre_esperado;id_canal_desvio_cobre_encontrado;nome_canal_desvio_cobre_encontrado;resultado_cascata;resultado_canal_desvio;resultado;detalhe
249;OURINHOS;129;OURINHOS;50;L.N. GARCEZ;39;39;L.N. GARCEZ;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação OURINHOS → L.N. GARCEZ coincide nos dois modelos.
251;SERRA MESA;130;SERRA MESA;252;CANA BRAVA;131;131;CANA BRAVA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SERRA MESA → CANA BRAVA coincide nos dois modelos.
252;CANA BRAVA;131;CANA BRAVA;253;SAO SALVADOR;132;132;SAO SALVADOR;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação CANA BRAVA → SAO SALVADOR coincide nos dois modelos.
253;SAO SALVADOR;132;SAO SALVADOR;257;PEIXE ANGIC;133;133;PEIXE ANGIC;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SAO SALVADOR → PEIXE ANGIC coincide nos dois modelos.
257;PEIXE ANGIC;133;PEIXE ANGIC;261;LAJEADO;135;135;LAJEADO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação PEIXE ANGIC → LAJEADO coincide nos dois modelos.
260;ESTRELA;134;ESTRELA;262;SALTO;136;136;SALTO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação ESTRELA → SALTO coincide nos dois modelos.
261;LAJEADO;135;LAJEADO;267;ESTREITO TOC;137;137;ESTREITO TOC;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação LAJEADO → ESTREITO TOC coincide nos dois modelos.
262;SALTO;136;SALTO;241;SLT VERDINHO;128;128;SLT VERDINHO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação SALTO → SLT VERDINHO coincide nos dois modelos.
276;RONDON II;140;RONDON II;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
281;PONTE PEDRA;145;PONTE PEDRA;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
285;JIRAU;148;JIRAU;287;STO ANTONIO;150;150;STO ANTONIO;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação JIRAU → STO ANTONIO coincide nos dois modelos.
287;STO ANTONIO;150;STO ANTONIO;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
290;ESPORA;152;ESPORA;34;I. SOLTEIRA;27;27;I. SOLTEIRA;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação ESPORA → I. SOLTEIRA coincide nos dois modelos.
304;ITIQUIRA I;153;ITIQUIRA I;305;ITIQUIRA II;154;154;ITIQUIRA II;0;-;;;-;Ligação de cascata correta;Sem canal de desvio nos dois modelos;Ligação de cascata correta;A ligação ITIQUIRA I → ITIQUIRA II coincide nos dois modelos.
305;ITIQUIRA II;154;ITIQUIRA II;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
309;JURUENA;155;JURUENA;0;-;;;-;0;-;;;-;Saída da cascata representada corretamente;Sem canal de desvio nos dois modelos;Saída da cascata representada corretamente;A saída da cascata foi representada corretamente nos dois modelos.
